Neighborhood,Latitude,Longitude,VenueName,VenueLatitude,VenueLongitude,VenueCategory
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Nature House,48.862292662443984,2.354042604699725,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie Badin,48.875138493187094,2.3384788935672147,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie Pharma Tova,48.871522709750394,2.3150259332961425,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,"Acuitis, Maison d'Optique et d'Audition",48.84287306,2.3231764999999998,Pharmacy
Les Halles,48.86319000000003,2.3420100000000734,Pharmacie Fontaine,48.88254019476824,2.333544230229899,Pharmacy
Les Halles,48.86319000000003,2.3420100000000734,pharmacie burdin,48.87986780641592,2.354332031849089,Pharmacy
Les Halles,48.86319000000003,2.3420100000000734,Pharmacie Saint Lazare,48.87772842525976,2.328588467009824,Pharmacy
Palais-Royal,48.863500000000045,2.338760000000036,Pharmacie 54 rue Beaubourg,48.86265182495117,2.3548316955566406,Pharmacy
Palais-Royal,48.863500000000045,2.338760000000036,PharmAvance,48.873108,2.35813,Pharmacy
Palais-Royal,48.863500000000045,2.338760000000036,Pharmacie Berdah,48.880363,2.352052,Pharmacy
Palais-Royal,48.863500000000045,2.338760000000036,Pharmacie MaxiPharma Haussmann Opéra,48.872972999999995,2.3342400000000003,Pharmacy
Palais-Royal,48.863500000000045,2.338760000000036,Pharmacie Centrale du Nord,48.878469966434075,2.3561523203570083,Pharmacy
Palais-Royal,48.863500000000045,2.338760000000036,Pharmacie Ecalle,48.87702267683481,2.3472739332454045,Pharmacy
Place-Vendôme,48.86778000000004,2.3301100000000474,Pharmacie Paris Eiffel,48.858565999999996,2.3026657000000004,Pharmacy
Place-Vendôme,48.86778000000004,2.3301100000000474,Pharmacie du Champ de Mars,48.857755,2.30084,Pharmacy
Place-Vendôme,48.86778000000004,2.3301100000000474,Pharmacie du Palais Royal,48.86220916271743,2.33960509300232,Pharmacy
Place-Vendôme,48.86778000000004,2.3301100000000474,Pharmacie du 7eme,48.855937,2.308026,Pharmacy
Place-Vendôme,48.86778000000004,2.3301100000000474,Pharmacie Ramajo,48.85966905776899,2.300797010306589,Pharmacy
Place-Vendôme,48.86778000000004,2.3301100000000474,Pharmacie Buenavida,48.8677,2.3535197,Pharmacy
Place-Vendôme,48.86778000000004,2.3301100000000474,Pharmacie Anglaise des Champs-Élysées,48.870854,2.305774,Pharmacy
Place-Vendôme,48.86778000000004,2.3301100000000474,Pharmacie Boetie-Ponthieu,48.871194,2.307199,Pharmacy
Place-Vendôme,48.86778000000004,2.3301100000000474,Pharmacie Du Delta,48.88243717782333,2.3465018992386373,Pharmacy
Vivienne,48.87109994892962,2.3412800621789893,Pharmacie Custine,48.88955944044607,2.3434072580891274,Pharmacy
Vivienne,48.87109994892962,2.3412800621789893,Pharmacie Hermel,48.89093573798744,2.344447821378708,Pharmacy
Vivienne,48.87109994892962,2.3412800621789893,Pharmacie Ojourd'hui Internationale,48.88758305283753,2.3493782415849043,Pharmacy
Vivienne,48.87109994892962,2.3412800621789893,Pharma Daloy-toledano,48.86763795206109,2.375657451435053,Pharmacy
