Neighborhood,Latitude,Longitude,VenueName,VenueLatitude,VenueLongitude,VenueCategory,color
Javel,48.84387001832192,2.2861300438571446,Songsan,48.836641928095816,2.299388481320753,Restaurant,gray
Javel,48.84387001832192,2.2861300438571446,Bong,48.842703170940254,2.3058483382730124,Restaurant,gray
Javel,48.84387001832192,2.2861300438571446,Le Coin d'Alexandre,48.83216837249263,2.293333822792532,Restaurant,gray
Javel,48.84387001832192,2.2861300438571446,La Terrasse Mirabeau,48.847327940428904,2.2734578545617805,Restaurant,gray
Javel,48.84387001832192,2.2861300438571446,Chiang Rai Mai,48.836044172003795,2.291940847190805,Restaurant,gray
Javel,48.84387001832192,2.2861300438571446,Parc du Champ de Mars (Jardin du Champ-de-Mars),48.855566953673204,2.298760414123535,Garden,green
Javel,48.84387001832192,2.2861300438571446,Odette & Charlus Café,48.840481091128595,2.304230497326769,Bar,beige
Javel,48.84387001832192,2.2861300438571446,Marks & Spencer Food,48.856957165873574,2.2777856515239896,Shop,orange
Javel,48.84387001832192,2.2861300438571446,Le Mûrier,48.83502592615721,2.29604993881468,Restaurant,gray
Javel,48.84387001832192,2.2861300438571446,Hotel Chouette,48.83570564976185,2.3021731125094025,Hotel,pink
Javel,48.84387001832192,2.2861300438571446,Le Bistrot des Vignes,48.85646771897339,2.2798383453272573,Restaurant,gray
Javel,48.84387001832192,2.2861300438571446,La Bodega,48.84536360256528,2.3020190503072997,Restaurant,gray
Javel,48.84387001832192,2.2861300438571446,Le Baribal,48.841975482175805,2.3090405021435116,Restaurant,gray
Javel,48.84387001832192,2.2861300438571446,Hôtel Porte de Versailles (PVH),48.83501551388064,2.2823711565356994,Hotel,pink
Javel,48.84387001832192,2.2861300438571446,Pop's,48.85420487430435,2.275881171226501,Restaurant,gray
Javel,48.84387001832192,2.2861300438571446,Kintaro,48.83681213368838,2.296191531226876,Restaurant,gray
Javel,48.84387001832192,2.2861300438571446,Sushi Gourmet,48.853045482120564,2.2755094375727505,Restaurant,gray
Javel,48.84387001832192,2.2861300438571446,La Table d'Hubert,48.83708578110954,2.279297329544278,Restaurant,gray
Javel,48.84387001832192,2.2861300438571446,Pasta Oro,48.841484482502366,2.2664776045032413,Restaurant,gray
Javel,48.84387001832192,2.2861300438571446,Restaurant 58 Tour Eiffel,48.85836582402155,2.294248938560486,Restaurant,gray
Javel,48.84387001832192,2.2861300438571446,Le Radis Beurre,48.846278999999996,2.3077099999999997,Restaurant,gray
Auteuil,48.846940000000075,2.2636600000000726,Lenôtre,48.847849229616365,2.265321925340599,Shop,orange
Auteuil,48.846940000000075,2.2636600000000726,Solemar,48.848418017978055,2.26107509927761,Restaurant,gray
Auteuil,48.846940000000075,2.2636600000000726,Le Bistrot 31,48.84994328403136,2.2724002379600243,Bistro,
Auteuil,48.846940000000075,2.2636600000000726,Sushi Marché,48.84663543209096,2.2711609789369884,Restaurant,gray
Auteuil,48.846940000000075,2.2636600000000726,Pasta Oro,48.841484482502366,2.2664776045032413,Restaurant,gray
Auteuil,48.846940000000075,2.2636600000000726,Il Far'niente,48.849650955216646,2.2684233164098195,Restaurant,gray
Auteuil,48.846940000000075,2.2636600000000726,Petit Bistrot d'Auteuil,48.84704565480248,2.268149703741073,Bistro,
Auteuil,48.846940000000075,2.2636600000000726,Shabestan - Mirabeau,48.849247966777185,2.2755789500919352,Restaurant,gray
Auteuil,48.846940000000075,2.2636600000000726,Honoré,48.84979338307434,2.2656871805819847,Restaurant,gray
Auteuil,48.846940000000075,2.2636600000000726,San Francisco,48.847180783780146,2.2733277309459,Restaurant,gray
Auteuil,48.846940000000075,2.2636600000000726,Le Village,48.8461258420646,2.250263674125079,Plaza,red
Auteuil,48.846940000000075,2.2636600000000726,Le Quinzième,48.84294814601746,2.2755873701072424,Restaurant,gray
Auteuil,48.846940000000075,2.2636600000000726,Restaurant Le Roland Garros,48.84722614543952,2.2506830401653586,Restaurant,gray
Auteuil,48.846940000000075,2.2636600000000726,Fondation Le Corbusier,48.851880945412205,2.2653743392129138,Museum,blue
Auteuil,48.846940000000075,2.2636600000000726,La Garçonnière,48.84051928239304,2.2580773383378983,Restaurant,gray
Auteuil,48.846940000000075,2.2636600000000726,Chez Charbel,48.84128178222714,2.2656547132521347,Restaurant,gray
